Length,Base_Prime,Primitive_Root,Shift,Initial_PSL,Optimized_PSL,Improvement
142,149,79,35,22,10,12
143,149,79,35,25,13,12
146,149,55,36,22,10,12
147,149,55,36,21,11,10
148,149,3,37,24,16,8
155,157,69,38,23,13,10
156,157,43,39,24,16,8
157,157,15,39,23,13,10
158,163,137,39,22,14,8
168,173,45,42,20,12,8
169,173,45,42,23,13,10
170,173,45,42,26,14,12
171,173,69,42,25,11,14
172,173,27,43,28,12,16
186,191,123,46,26,14,12
187,191,83,46,27,15,12
188,191,33,47,24,16,8
189,191,101,47,27,15,12
190,191,57,47,26,14,12
204,211,75,51,24,16,8
205,211,141,51,29,17,12
206,211,133,51,26,14,12
210,211,3,52,30,14,16
211,211,75,52,11,11,0
212,223,71,53,32,16,16
213,223,185,53,23,15,8
214,223,185,53,18,14,4
217,223,185,54,23,15,8
218,223,61,54,26,14,12
219,223,185,54,25,17,8
220,223,113,55,28,16,12
221,223,113,55,27,17,10
248,251,43,62,32,16,16
249,251,97,62,35,19,16
250,251,61,62,34,14,20
251,251,165,62,27,17,10
252,257,37,63,32,16,16
253,257,219,63,33,19,14
254,257,97,63,30,14,16
255,257,51,63,35,17,18
256,257,96,64,32,16,16
257,257,96,64,3,3,0
258,263,5,64,34,18,16
259,263,55,64,31,17,14
292,293,3,73,36,20,16
293,293,146,73,3,3,0
310,311,153,77,34,18,16
311,311,93,77,27,19,8
312,313,207,78,36,16,20
315,317,13,78,37,19,18
316,317,158,79,32,24,8
317,317,158,79,3,3,0
340,347,19,85,36,20,16
341,347,21,85,39,21,18
342,347,21,85,38,18,20
343,347,17,85,41,25,16
357,359,67,89,39,21,18
358,359,117,89,42,18,24
372,373,151,93,44,24,20
373,373,186,93,3,3,0
374,379,2,93,46,22,24
375,379,359,93,45,25,20
381,383,159,95,41,23,18
382,383,83,95,46,26,20
383,383,381,95,35,35,0
384,389,194,96,44,24,20
420,421,145,105,44,24,20
421,421,210,105,3,3,0
422,431,43,105,46,30,16
423,431,237,105,45,23,22
434,439,155,108,46,22,24
435,439,85,108,45,23,22
436,439,279,109,44,20,24
437,439,369,109,47,29,18
465,467,73,116,49,27,22
466,467,111,116,46,22,24
467,467,2,116,41,25,16
468,479,113,117,48,24,24
504,509,433,126,48,28,20
505,509,273,126,49,27,22
506,509,53,126,54,22,32
508,509,477,127,52,28,24
509,509,254,127,3,3,0
510,521,95,127,54,30,24
511,521,203,127,53,25,28
512,521,85,128,52,28,24
513,521,139,128,55,25,30
514,521,95,128,50,26,24
595,599,23,148,53,25,28
596,599,157,149,56,28,28
620,631,495,155,48,28,20
621,631,75,155,57,35,22
630,631,185,157,58,30,28
631,631,585,157,33,31,2
635,641,480,158,59,31,28
636,641,237,159,56,32,24
651,653,615,162,57,33,24
652,653,326,163,56,32,24
653,653,326,163,3,3,0
682,683,279,170,54,34,20
683,683,279,170,27,23,4
744,751,645,186,60,32,28
745,751,539,186,69,37,32
762,769,297,190,70,34,36
763,769,681,190,65,35,30
764,769,249,191,68,36,32
819,821,61,204,69,41,28
820,821,17,205,72,36,36
840,853,17,210,72,36,36
841,853,519,210,71,39,32
868,877,99,217,76,40,36
869,877,339,217,73,39,34
870,877,341,217,70,42,28
889,907,105,222,75,41,34
890,907,507,222,70,42,28
891,907,539,222,73,43,30
930,937,651,232,74,34,40
931,937,845,232,67,45,22
932,937,491,233,76,40,36
1016,1019,663,254,76,48,28
1017,1019,697,254,79,43,36
1020,1021,655,255,80,48,32
1021,1021,65,255,63,43,20
1022,1031,601,255,78,42,36
1023,1031,263,255,77,41,36
1024,1031,91,256,76,44,32
1025,1031,797,256,79,41,38
1302,1303,775,325,78,46,32
1303,1303,465,325,27,27,0
1524,1531,51,381,104,56,48
1525,1531,581,381,99,53,46
1533,1543,917,383,101,55,46
1534,1543,917,383,106,58,48
1778,1783,1611,444,106,66,40
1779,1783,539,444,107,55,52
1785,1787,1739,446,105,61,44
1786,1787,1175,446,110,58,52
1860,1861,371,465,116,60,56
1861,1861,930,465,3,3,0
1905,1907,317,476,115,59,56
1906,1907,265,476,118,66,52
1953,1973,986,488,107,67,40
1954,1973,986,488,106,74,32
2044,2053,1026,511,116,68,48
2045,2053,135,511,113,63,50
2046,2053,1995,511,118,62,56
2047,2053,801,511,115,65,50
2048,2053,135,512,116,60,56
