Length,Base_Prime,Alpha,Shift,Initial_PSL,Optimized_PSL,Improvement
206,211,7,51,22,14,8
210,211,2,52,2,2,0
211,211,91,52,19,15,4
212,223,22,53,24,16,8
213,223,11,53,19,15,4
214,223,11,53,22,18,4
217,223,46,54,19,15,4
218,223,46,54,22,14,8
219,223,10,54,19,17,2
220,223,22,55,24,16,8
221,223,46,55,17,17,0
248,251,19,62,28,16,12
249,251,57,62,21,19,2
250,251,6,62,2,2,0
251,251,24,62,21,17,4
252,257,7,63,28,20,8
253,257,5,63,21,17,4
254,257,51,63,26,18,8
255,257,5,63,21,19,2
256,257,3,64,4,4,0
257,257,7,64,21,17,4
258,263,5,64,30,14,16
259,263,38,64,21,15,6
292,293,2,73,4,4,0
293,293,3,73,23,15,8
310,311,17,77,2,2,0
311,311,17,77,25,19,6
312,313,10,78,4,4,0
315,317,8,78,25,19,6
316,317,2,79,4,4,0
317,317,18,79,23,19,4
340,347,19,85,32,20,12
341,347,20,85,25,21,4
342,347,20,85,34,22,12
343,347,19,85,25,21,4
357,359,13,89,27,19,8
358,359,7,89,2,2,0
372,373,2,93,4,4,0
373,373,24,93,27,21,6
374,379,13,93,34,22,12
375,379,65,93,27,19,8
381,383,22,95,25,19,6
382,383,5,95,2,2,0
383,383,22,95,25,21,4
384,389,48,96,36,24,12
420,421,2,105,4,4,0
421,421,39,105,27,23,4
422,431,43,105,38,22,16
423,431,39,105,29,23,6
434,439,15,108,42,26,16
435,439,37,108,29,23,6
436,439,37,109,36,20,16
437,439,57,109,29,21,8
465,467,18,116,31,23,8
466,467,2,116,2,2,0
467,467,18,116,29,25,4
468,479,76,117,32,24,8
504,509,50,126,40,24,16
505,509,28,126,31,19,12
506,509,3,126,46,26,20
508,509,2,127,4,4,0
509,509,28,127,31,23,8
510,521,7,127,38,26,12
511,521,35,127,29,27,2
512,521,66,128,40,24,16
513,521,35,128,31,27,4
514,521,35,128,42,22,20
595,599,70,148,35,27,8
596,599,7,149,52,28,24
620,631,12,155,48,32,16
621,631,12,155,35,29,6
630,631,3,157,2,2,0
631,631,12,157,37,31,6
635,641,6,158,33,29,4
636,641,23,159,52,28,24
651,653,2,162,37,27,10
652,653,2,163,4,4,0
653,653,2,163,39,37,2
682,683,5,170,2,2,0
683,683,41,170,37,29,8
744,751,17,186,56,32,24
745,751,39,186,41,31,10
762,769,11,190,62,34,28
763,769,29,190,39,29,10
764,769,58,191,56,36,20
819,821,21,204,43,37,6
820,821,2,205,4,4,0
840,853,11,210,64,32,32
841,853,32,210,45,35,10
868,877,13,217,64,36,28
869,877,24,217,43,37,6
870,877,52,217,62,34,28
889,907,17,222,43,37,6
890,907,65,222,58,38,20
891,907,3,222,45,33,12
930,937,10,232,62,34,28
931,937,47,232,45,33,12
932,937,91,233,56,36,20
1016,1019,30,254,64,40,24
1017,1019,10,254,43,39,4
1020,1021,10,255,4,4,0
1021,1021,22,255,51,39,12
1022,1031,63,255,66,38,28
1023,1031,21,255,49,41,8
1024,1031,34,256,68,36,32
1025,1031,71,256,47,37,10
1302,1303,6,325,2,2,0
1303,1303,53,325,53,45,8
1524,1531,87,381,76,56,20
1525,1531,33,381,61,49,12
1533,1543,54,383,61,47,14
1534,1543,12,383,82,46,36
1778,1783,42,444,98,50,48
1779,1783,80,444,65,55,10
1785,1787,7,446,67,53,14
1786,1787,2,446,2,2,0
1860,1861,2,465,4,4,0
1861,1861,2,465,71,57,14
1905,1907,50,476,67,57,10
1906,1907,2,476,2,2,0
1953,1973,22,488,71,57,14
1954,1973,39,488,102,54,48
2044,2053,35,511,104,60,44
2045,2053,24,511,73,57,16
2046,2053,35,511,102,62,40
2047,2053,24,511,73,57,16
2048,2053,35,512,100,56,44
