Length,Base_Prime,Primitive_Root,Shift,Initial_PSL,Optimized_PSL,Improvement
142,149,79,35,22,14,8
143,149,79,35,25,15,10
146,149,55,36,22,14,8
147,149,55,36,21,15,6
148,149,3,37,24,16,8
155,157,69,38,23,15,8
156,157,43,39,24,16,8
157,157,15,39,23,17,6
158,163,137,39,22,18,4
168,173,45,42,20,16,4
169,173,45,42,23,17,6
170,173,45,42,26,18,8
171,173,69,42,25,17,8
172,173,27,43,28,16,12
186,191,123,46,26,18,8
187,191,83,46,27,19,8
188,191,33,47,24,20,4
189,191,101,47,27,19,8
190,191,57,47,26,18,8
204,211,75,51,24,20,4
205,211,141,51,29,19,10
206,211,133,51,26,18,8
210,211,3,52,30,22,8
211,211,75,52,11,11,0
212,223,71,53,32,20,12
213,223,185,53,23,21,2
214,223,185,53,18,18,0
217,223,185,54,23,19,4
218,223,61,54,26,22,4
219,223,185,54,25,21,4
220,223,113,55,28,20,8
221,223,113,55,27,21,6
248,251,43,62,32,24,8
249,251,97,62,35,23,12
250,251,61,62,34,22,12
251,251,165,62,27,23,4
252,257,37,63,32,24,8
253,257,219,63,33,23,10
254,257,97,63,30,22,8
255,257,51,63,35,23,12
256,257,96,64,32,24,8
257,257,96,64,3,3,0
258,263,5,64,34,26,8
259,263,55,64,31,23,8
292,293,3,73,36,28,8
293,293,146,73,3,3,0
310,311,153,77,34,26,8
311,311,93,77,27,27,0
312,313,207,78,36,28,8
315,317,13,78,37,27,10
316,317,158,79,32,28,4
317,317,158,79,3,3,0
340,347,19,85,36,28,8
341,347,21,85,39,27,12
342,347,21,85,38,30,8
343,347,17,85,41,29,12
357,359,67,89,39,29,10
358,359,117,89,42,30,12
372,373,151,93,44,32,12
373,373,186,93,3,3,0
374,379,2,93,46,34,12
375,379,359,93,45,31,14
381,383,159,95,41,31,10
382,383,83,95,46,34,12
383,383,381,95,35,33,2
384,389,194,96,44,32,12
420,421,145,105,44,36,8
421,421,210,105,3,3,0
422,431,43,105,46,34,12
423,431,237,105,45,33,12
434,439,155,108,46,30,16
435,439,85,108,45,35,10
436,439,279,109,44,32,12
437,439,369,109,47,33,14
465,467,73,116,49,37,12
466,467,111,116,46,34,12
467,467,2,116,41,37,4
468,479,113,117,48,36,12
504,509,433,126,48,40,8
505,509,273,126,49,37,12
506,509,53,126,54,38,16
508,509,477,127,52,40,12
509,509,254,127,3,3,0
510,521,95,127,54,38,16
511,521,203,127,53,37,16
512,521,85,128,52,40,12
513,521,139,128,55,39,16
514,521,95,128,50,38,12
595,599,23,148,53,43,10
596,599,157,149,56,44,12
620,631,495,155,48,44,4
621,631,75,155,57,45,12
630,631,185,157,58,46,12
631,631,585,157,33,33,0
635,641,480,158,59,45,14
636,641,237,159,56,44,12
651,653,615,162,57,47,10
652,653,326,163,56,44,12
653,653,326,163,3,3,0
682,683,279,170,54,46,8
683,683,279,170,27,27,0
744,751,645,186,60,48,12
745,751,539,186,69,51,18
762,769,297,190,70,54,16
763,769,681,190,65,51,14
764,769,249,191,68,52,16
819,821,61,204,69,51,18
820,821,17,205,72,56,16
840,853,17,210,72,52,20
841,853,519,210,71,55,16
868,877,99,217,76,52,24
869,877,339,217,73,53,20
870,877,341,217,70,54,16
889,907,105,222,75,57,18
890,907,507,222,70,58,12
891,907,539,222,73,55,18
930,937,651,232,74,54,20
931,937,845,232,67,57,10
932,937,491,233,76,60,16
1016,1019,663,254,76,64,12
1017,1019,697,254,79,61,18
1020,1021,655,255,80,60,20
1021,1021,65,255,63,61,2
1022,1031,601,255,78,62,16
1023,1031,263,255,77,63,14
1024,1031,91,256,76,64,12
1025,1031,797,256,79,61,18
1302,1303,775,325,78,74,4
1303,1303,465,325,27,27,0
1524,1531,51,381,104,80,24
1525,1531,581,381,99,83,16
1533,1543,917,383,101,77,24
1534,1543,917,383,106,82,24
1778,1783,1611,444,106,86,20
1779,1783,539,444,107,89,18
1785,1787,1739,446,105,89,16
1786,1787,1175,446,110,90,20
1860,1861,371,465,116,92,24
1861,1861,930,465,3,3,0
1905,1907,317,476,115,93,22
1906,1907,265,476,118,94,24
1953,1973,986,488,107,93,14
1954,1973,986,488,106,94,12
2044,2053,1026,511,116,96,20
2045,2053,135,511,113,99,14
2046,2053,1995,511,118,98,20
2047,2053,801,511,115,93,22
2048,2053,135,512,116,100,16
